mechanism,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode13,barcode14,barcode15,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
ABC Transporter (Oxazolidinone/Phenicol Efflux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aminoglycoside Acetyltransferase (Drug Inactivation),0,2,0,0,1,0,8,15,0,1,0,0,0,0,16,0,0,0,0,0,0
Aminoglycoside Adenylyltransferase (Drug Inactivation),0,1,1,0,6,0,22,6,1,1,5,1,0,0,12,1,0,3,2,14,18
Aminoglycoside Nucleotidyltransferase (Drug Inactivation),0,6,1,6,0,0,20,11,2,1,11,7,0,0,7,4,0,10,0,25,4
Aminoglycoside Phosphotransferase (Drug Inactivation),1,4,7,2,11,1,23,56,31,0,28,7,0,0,22,2,0,65,0,46,23
Beta-lactamase (Drug Inactivation),3,4,2,0,5,0,26,30,1,1,3,8,0,0,50,2,0,2,1,3,9
Chloramphenicol Acetyltransferase (Drug Inactivation),0,1,0,0,2,1,28,5,1,0,1,0,0,0,25,0,0,3,0,0,0
Chloramphenicol Efflux Pump,6,9,54,1,111,2,12,57,4,5,13,6,3,6,12,11,3,391,13,70,46
Colistin Resistance (Target Modification),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
Dihydrofolate Reductase (Target Bypass),3,6,12,0,5,0,47,58,2,1,14,4,0,0,29,7,1,5,3,10,23
Erythromycin Esterase (Drug Inactivation),0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
Fosfomycin Resistance (Drug Inactivation/Target Modification),0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Lincosamide Nucleotidyltransferase (Drug Inactivation),0,7,1,12,1,0,14,4,0,1,0,7,0,0,9,3,0,0,0,4,6
Lincosamide-Streptogramin Efflux,0,0,0,7,0,0,3,0,0,0,0,2,0,0,10,0,0,0,0,0,0
Macrolide Efflux Pump,0,9,0,1,1,0,9,20,0,1,6,2,0,2,20,2,0,2,0,4,0
Macrolide Phosphotransferase (Drug Inactivation),2,3,3,3,1,0,1,17,2,0,0,2,0,0,5,0,0,1,0,0,0
Nitroimidazole Resistance,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
Other/Unknown Mechanism,0,3,2,0,9,0,63,6,1,0,4,5,0,0,18,0,0,0,0,0,5
Quinolone Resistance (Target Protection),192,2481,42,1,3343,1,15529,4189,1684,1,287,75,0,12,4819,8,4,5,48,13,2273
RND Efflux Pump (Quinolone/Multidrug),0,7,0,0,0,0,17,30,0,0,0,0,0,0,10,0,0,0,0,0,0
Ribosome Methylase (Target Modification),0,13,0,0,1,0,21,1,0,0,13,4,0,0,27,3,0,13,3,5,0
Rifampicin ADP-ribosyltransferase (Drug Inactivation),0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomycin Resistance,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sulfonamide Resistance (Target Bypass),3,20,16,1,8,2,10256,55,11,1,9,6,0,2,37,3,3,10,1,23,14
Tetracycline Efflux/Ribosomal Protection,1,14,13,1,13,0,73,35,13,8,60,8,0,3,51,12,4,37,0,53,26
