resistance_class,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode13,barcode14,barcode15,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Amikacin,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,1,0,1,0
Amoxicillin,2,0,1,0,3,0,21,7,1,0,2,4,0,0,37,1,0,2,0,1,7
Amoxicillin+Clavulanicacid,1,0,1,0,1,0,11,2,0,0,0,0,0,0,17,1,0,0,0,0,1
Ampicillin,2,0,1,0,3,0,21,7,1,0,2,4,0,0,37,1,0,2,0,1,7
Ampicillin+Clavulanicacid,1,0,1,0,1,0,11,2,0,0,0,0,0,0,17,1,0,0,0,0,1
Azithromycin,3,7,3,1,2,0,7,3,0,1,6,2,0,2,18,2,0,2,0,4,0
Aztreonam,1,0,0,0,1,0,3,2,0,0,1,0,0,0,12,0,0,0,0,0,0
Cefepime,1,0,0,0,2,0,11,3,0,0,1,0,0,0,23,0,0,0,0,0,0
Cefotaxime,2,0,1,0,1,0,6,3,0,0,1,0,0,0,17,0,0,0,0,0,1
Cefoxitin,1,0,1,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,1
Ceftazidime,2,0,1,0,1,0,6,3,0,0,1,0,0,0,17,0,0,0,0,0,1
Ceftriaxone,1,0,0,0,1,0,3,2,0,0,1,0,0,0,12,0,0,0,0,0,0
Cephalothin,0,0,0,0,1,0,7,3,1,0,1,4,0,0,7,0,0,0,0,1,6
Chloramphenicol,6,10,54,1,115,3,41,64,5,5,26,7,3,6,37,14,3,411,14,72,47
Ciprofloxacin,193,2496,42,1,3358,1,15586,4224,1688,1,287,75,0,12,4856,9,4,5,48,13,2283
Clindamycin,0,13,1,10,1,0,24,1,0,0,13,9,0,0,44,3,0,13,3,8,0
Colistin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
Dalfopristin,0,0,0,7,0,0,4,0,0,0,12,4,0,0,10,3,0,12,1,2,0
Doxycycline,1,14,13,1,13,0,73,35,13,8,61,8,0,3,51,12,4,37,0,53,27
Erythromycin,3,23,3,4,3,0,29,21,2,1,7,7,0,2,47,2,0,4,2,9,0
Florfenicol,6,9,47,1,106,1,11,56,4,5,21,4,3,6,6,14,3,408,11,72,32
Fosfomycin,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Gentamicin,0,5,0,0,1,0,2,19,1,1,1,0,0,0,2,2,0,0,0,0,0
Lincomycin,0,20,1,19,2,0,38,5,0,1,13,13,0,0,46,6,0,13,3,9,6
Linezolid,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,3,0,13,1,2,0
Minocycline,0,9,4,1,3,0,46,11,0,6,31,7,0,3,9,4,0,13,0,31,10
Nalidixicacid,0,7,0,0,0,0,17,30,0,0,0,0,0,0,10,0,0,0,0,0,0
Piperacillin,2,0,1,0,3,0,21,7,1,0,2,4,0,0,37,0,0,2,0,1,7
Piperacillin+Tazobactam,1,0,1,0,1,0,11,2,0,0,0,0,0,0,17,0,0,0,0,0,1
PristinamycinIA,0,15,0,1,1,0,21,1,0,1,4,3,0,1,31,1,0,1,2,6,0
PristinamycinIIA,0,0,0,7,0,0,4,0,0,0,12,4,0,0,10,3,0,12,1,2,0
Quinupristin,0,15,0,1,1,0,21,1,0,1,4,3,0,1,31,1,0,1,2,6,0
Spiramycin,3,0,3,0,1,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0
Streptomycin,1,8,7,8,13,1,57,65,33,2,44,11,0,0,29,5,0,76,2,84,45
Sulfamethoxazole,3,20,16,1,8,2,10302,55,12,1,9,6,0,2,37,3,3,10,1,23,14
Telithromycin,3,2,3,1,1,0,1,8,2,1,3,0,0,1,6,1,0,0,0,3,0
Tetracycline,1,14,13,1,13,0,73,35,13,8,61,8,0,3,51,12,4,37,0,53,27
Tiamulin,0,0,0,7,0,0,1,0,0,0,12,4,0,0,10,3,0,12,1,2,0
Ticarcillin,2,0,1,0,2,0,13,6,1,0,2,4,0,0,25,0,0,0,0,1,7
Ticarcillin+Clavulanicacid,1,0,1,0,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,1
Tigecycline,0,4,1,0,3,0,1,5,0,0,1,1,0,2,2,0,0,2,0,7,2
Tobramycin,0,5,0,0,1,0,2,19,1,1,1,0,0,0,1,2,0,0,0,0,0
Trimethoprim,3,6,12,0,5,0,47,58,2,1,14,4,0,0,29,7,1,5,3,10,23
Unknown,1,10,5,0,15,0,83,48,1,2,12,9,0,0,49,1,0,1,1,2,7
VirginiamycinM,0,0,0,7,0,0,4,0,0,0,12,4,0,0,10,3,0,12,1,2,0
VirginiamycinS,0,15,0,1,1,0,21,1,0,1,4,3,0,1,31,1,0,1,2,6,0
