Barcode,Sample ID,Farm Type,Farm ID,Sample Type,Oblast,Collection Period
BC01,1.1.,Poultry,poultry #1,Native,Zaporizhzhia Oblast,JAN-FEB 2025
BC02,1.1. н,Poultry,poultry #1,Enriched,Zaporizhzhia Oblast,JAN-FEB 2025
BC03,2.,Pig,pig #1,Native,Zhytomyr Oblast,JAN-FEB 2025
BC04,2. н,Pig,pig #1,Enriched,Zhytomyr Oblast,JAN-FEB 2025
BC05,3.,Poultry,poultry #2,Native,Kyiv Oblast,JAN-FEB 2025
BC06,3. н,Poultry,poultry #2,Enriched,Kyiv Oblast,JAN-FEB 2025
BC07,4.,Poultry,poultry #3,Native,Kyiv Oblast,JAN-FEB 2025
BC08,4. н,Poultry,poultry #3,Enriched,Kyiv Oblast,JAN-FEB 2025
BC09,5.1.,Pig,pig #2,Native,Kyiv Oblast,JAN-FEB 2025
BC10,5.1. н,Pig,pig #2,Enriched,Kyiv Oblast,JAN-FEB 2025
BC11,5.2.,Pig,pig #2 B2,Native,Kyiv Oblast,JAN-FEB 2025
BC12,5.2.н,Pig,pig #2 B2,Enriched,Kyiv Oblast,JAN-FEB 2025
BC13,6.,Pig,pig #3,Native,Kyiv Oblast,JAN-FEB 2025
BC14,6. н,Pig,pig #3,Enriched,Kyiv Oblast,JAN-FEB 2025
BC15,7.,Pig,pig #4,Native,Chernivtsi Oblast,JAN-FEB 2025
BC16,7. н,Pig,pig #4,Enriched,Chernivtsi Oblast,JAN-FEB 2025
BC17,8.,Pig,pig #5,Native,Chernivtsi Oblast,JAN-FEB 2025
BC18,8. н,Pig,pig #5,Enriched,Chernivtsi Oblast,JAN-FEB 2025
BC19,9.,Pig,pig #6,Native,Vinnytsia Oblast,JAN-FEB 2025
BC20,9. н,Pig,pig #6,Enriched,Vinnytsia Oblast,JAN-FEB 2025
BC21,10.,Pig,pig #7,Native,Zhytomyr Oblast,JAN-FEB 2025
BC22,10. н,Pig,pig #7,Enriched,Zhytomyr Oblast,JAN-FEB 2025
BC23,11.,Pig,pig #8,Native,Mykolaiv Oblast,JAN-FEB 2025
BC24,11 н,Pig,pig #8,Enriched,Mykolaiv Oblast,JAN-FEB 2025
